ID Cliente,Tipo Cliente,Ubicación,Frecuencia Compra,Volumen Harina (kg),Volumen Huevos (docenas),Gasto Promedio ($),Método de Pago
85,Tienda Pequeña,Valdivia,Semanal,44,44,48708,Efectivo
86,Tienda Pequeña,Los molinos,Semanal,68,7,58989,Efectivo
87,Restaurante,Corral,Semanal,59,174,96018,Crédito
88,Restaurante,Las animas,Quincenal,289,53,256911,Tarjeta
89,Consumidor minorista,Valdivia,Semanal,3,5,3855,Crédito
90,Consumidor minorista,Corral,Mensual,9,5,8895,Crédito
91,Tienda Pequeña,Corral,Quincenal,84,47,83109,Crédito
92,Panadería,Corral,Semanal,434,58,380046,Tarjeta
93,Restaurante,Corral,Quincenal,402,147,376929,Efectivo
94,Restaurante,Valdivia,Mensual,313,169,308043,Efectivo
95,Tienda Pequeña,Niebla,Semanal,24,46,32442,Efectivo
96,Consumidor minorista,Corral,Mensual,9,1,7827,Tarjeta
97,Consumidor minorista,Niebla,Semanal,10,1,8667,Crédito
98,Restaurante,Las animas,Semanal,323,111,300957,Tarjeta
99,Panadería,Niebla,Semanal,427,37,368559,Efectivo
100,Consumidor minorista,Valdivia,Semanal,5,4,5268,Crédito
101,Tienda Pequeña,Los molinos,Quincenal,12,45,22095,Crédito
102,Panadería,Valdivia,Semanal,365,120,338640,Crédito
103,Tienda Pequeña,Los molinos,Semanal,11,50,22590,Efectivo
104,Restaurante,Valdivia,Quincenal,411,146,384222,Crédito
105,Minimarket,Valdivia,Semanal,464,131,424737,Crédito
106,Panadería,Valdivia,Quincenal,109,163,135081,Crédito
107,Restaurante,Niebla,Mensual,106,178,136566,Tarjeta
108,Consumidor minorista,Valdivia,Quincenal,8,1,6987,Tarjeta
109,Minimarket,Corral,Quincenal,330,24,283608,Crédito
110,Panadería,Los molinos,Mensual,120,121,133107,Crédito
111,Consumidor minorista,Niebla,Semanal,2,3,2481,Tarjeta
112,Minimarket,Niebla,Mensual,227,166,235002,Efectivo
113,Restaurante,Las animas,Quincenal,275,98,257166,Tarjeta
114,Panadería,Los molinos,Semanal,131,87,133269,Crédito
115,Consumidor minorista,Los molinos,Semanal,8,5,8055,Efectivo
116,Panadería,Niebla,Mensual,489,191,461757,Tarjeta
117,Minimarket,Valdivia,Quincenal,485,140,444780,Efectivo
118,Minimarket,Los molinos,Semanal,385,51,337017,Crédito
119,Restaurante,Corral,Mensual,55,150,86250,Tarjeta
120,Consumidor minorista,Niebla,Mensual,10,4,9468,Crédito
121,Consumidor minorista,Corral,Semanal,1,2,1374,Efectivo
122,Consumidor minorista,Niebla,Semanal,3,5,3855,Efectivo
123,Panadería,Los molinos,Semanal,54,38,55506,Efectivo
124,Tienda Pequeña,Las animas,Mensual,25,42,32214,Crédito
125,Tienda Pequeña,Valdivia,Quincenal,52,19,48753,Tarjeta
126,Panadería,Valdivia,Quincenal,319,45,279975,Crédito
127,Tienda Pequeña,Niebla,Quincenal,39,12,35964,Efectivo
128,Minimarket,Los molinos,Semanal,338,84,306348,Tarjeta
129,Consumidor minorista,Valdivia,Semanal,8,5,8055,Crédito
130,Minimarket,Niebla,Quincenal,278,124,266628,Crédito
131,Panadería,Niebla,Semanal,277,74,252438,Crédito
132,Panadería,Corral,Quincenal,432,180,410940,Crédito
133,Consumidor minorista,Corral,Semanal,2,1,1947,Tarjeta
134,Panadería,Niebla,Semanal,364,116,336732,Tarjeta
135,Restaurante,Corral,Mensual,131,84,132468,Crédito
136,Minimarket,Corral,Quincenal,104,193,138891,Tarjeta
137,Panadería,Las animas,Quincenal,160,183,183261,Crédito
138,Consumidor minorista,Los molinos,Semanal,5,2,4734,Crédito
139,Tienda Pequeña,Niebla,Quincenal,21,14,21378,Efectivo
140,Consumidor minorista,Los molinos,Mensual,5,2,4734,Efectivo
141,Restaurante,Valdivia,Semanal,70,74,78558,Crédito
142,Tienda Pequeña,Corral,Quincenal,86,27,79449,Crédito
143,Minimarket,Niebla,Quincenal,123,135,139365,Efectivo
144,Restaurante,Los molinos,Semanal,455,42,393414,Efectivo
145,Tienda Pequeña,Corral,Semanal,66,34,64518,Efectivo
146,Consumidor minorista,Las animas,Semanal,10,3,9201,Crédito
147,Restaurante,Valdivia,Mensual,62,179,99873,Tarjeta
148,Minimarket,Valdivia,Mensual,149,167,169749,Efectivo
149,Tienda Pequeña,Corral,Quincenal,94,12,82164,Tarjeta
150,Consumidor minorista,Los molinos,Quincenal,2,5,3015,Efectivo
151,Minimarket,Valdivia,Mensual,362,196,356412,Crédito
152,Minimarket,Niebla,Mensual,470,171,440457,Efectivo
153,Panadería,Las animas,Semanal,389,199,379893,Tarjeta
154,Panadería,Los molinos,Quincenal,407,64,358968,Efectivo
155,Tienda Pequeña,Las animas,Semanal,23,33,28131,Tarjeta
156,Minimarket,Los molinos,Mensual,494,164,458748,Efectivo
157,Consumidor minorista,Niebla,Mensual,8,3,7521,Tarjeta
158,Consumidor minorista,Corral,Mensual,6,1,5307,Efectivo
159,Tienda Pequeña,Los molinos,Semanal,23,48,32136,Efectivo
160,Minimarket,Valdivia,Quincenal,435,80,386760,Crédito
161,Panadería,Los molinos,Mensual,478,139,438633,Crédito
162,Restaurante,Valdivia,Mensual,309,174,306018,Efectivo
163,Tienda Pequeña,Valdivia,Quincenal,84,16,74832,Efectivo
164,Tienda Pequeña,Los molinos,Quincenal,53,32,53064,Tarjeta
165,Consumidor minorista,Los molinos,Semanal,5,1,4467,Efectivo
166,Consumidor minorista,Corral,Mensual,4,3,4161,Efectivo
167,Tienda Pequeña,Valdivia,Semanal,49,35,50505,Crédito
168,Consumidor minorista,Corral,Mensual,3,1,2787,Tarjeta
169,Tienda Pequeña,Valdivia,Quincenal,100,46,96282,Crédito
170,Restaurante,Las animas,Quincenal,134,159,155013,Tarjeta
171,Consumidor minorista,Niebla,Mensual,5,5,5535,Efectivo
172,Restaurante,Niebla,Mensual,273,193,280851,Efectivo
173,Minimarket,Valdivia,Quincenal,80,120,99240,Efectivo
174,Restaurante,Las animas,Mensual,394,61,347247,Crédito
175,Minimarket,Niebla,Semanal,405,94,365298,Tarjeta
176,Panadería,Corral,Mensual,294,151,287277,Efectivo
177,Tienda Pequeña,Corral,Semanal,42,15,39285,Tarjeta
178,Tienda Pequeña,Niebla,Mensual,34,24,34968,Efectivo
179,Panadería,Valdivia,Quincenal,444,134,408738,Efectivo
180,Tienda Pequeña,Valdivia,Quincenal,98,41,93267,Tarjeta
181,Restaurante,Las animas,Quincenal,142,171,164937,Crédito
182,Panadería,Valdivia,Mensual,442,194,423078,Efectivo
183,Restaurante,Las animas,Mensual,60,138,87246,Tarjeta
184,Tienda Pequeña,Niebla,Semanal,10,42,19614,Efectivo
185,Consumidor minorista,Los molinos,Quincenal,6,1,5307,Crédito
186,Restaurante,Valdivia,Quincenal,500,74,439758,Efectivo
187,Consumidor minorista,Los molinos,Semanal,7,2,6414,Crédito
188,Panadería,Las animas,Quincenal,110,21,98007,Tarjeta
189,Minimarket,Los molinos,Quincenal,289,141,280407,Efectivo
190,Panadería,Los molinos,Mensual,178,149,189303,Tarjeta
191,Restaurante,Los molinos,Semanal,344,69,307383,Crédito
192,Minimarket,Valdivia,Mensual,78,90,89550,Crédito
193,Consumidor minorista,Las animas,Semanal,9,1,7827,Tarjeta
194,Panadería,Las animas,Semanal,135,64,130488,Crédito
195,Minimarket,Valdivia,Quincenal,478,105,429555,Crédito
196,Restaurante,Las animas,Mensual,405,66,357822,Tarjeta
197,Panadería,Los molinos,Semanal,285,59,255153,Crédito
198,Panadería,Corral,Semanal,70,27,66009,Tarjeta
199,Restaurante,Valdivia,Quincenal,356,29,306783,Crédito
200,Consumidor minorista,Los molinos,Mensual,7,2,6414,Crédito
201,Minimarket,Las animas,Semanal,167,67,158169,Crédito
202,Minimarket,Las animas,Quincenal,195,58,179286,Efectivo
203,Panadería,Valdivia,Semanal,287,137,277659,Crédito
204,Minimarket,Los molinos,Semanal,189,146,197742,Crédito
205,Tienda Pequeña,Las animas,Semanal,60,38,60546,Crédito
206,Tienda Pequeña,Corral,Mensual,13,8,13056,Efectivo
207,Minimarket,Los molinos,Mensual,446,109,403743,Tarjeta
208,Minimarket,Los molinos,Semanal,93,60,94140,Efectivo
209,Restaurante,Las animas,Quincenal,419,171,397617,Tarjeta
210,Restaurante,Las animas,Quincenal,249,26,216102,Efectivo
211,Tienda Pequeña,Las animas,Mensual,21,32,26184,Crédito
212,Panadería,Valdivia,Semanal,80,96,92832,Tarjeta
213,Panadería,Valdivia,Semanal,324,109,301263,Crédito
214,Minimarket,Corral,Mensual,474,34,407238,Tarjeta
215,Panadería,Las animas,Quincenal,472,185,445875,Crédito
216,Tienda Pequeña,Corral,Mensual,28,33,32331,Efectivo
217,Tienda Pequeña,Las animas,Mensual,45,30,45810,Efectivo
218,Panadería,Niebla,Semanal,126,84,128268,Efectivo
219,Restaurante,Corral,Semanal,334,104,308328,Tarjeta
220,Restaurante,Corral,Mensual,240,41,212547,Efectivo
221,Tienda Pequeña,Las animas,Quincenal,30,38,35346,Tarjeta
222,Tienda Pequeña,Niebla,Mensual,32,12,30084,Tarjeta
223,Minimarket,Los molinos,Semanal,333,61,296007,Crédito
224,Consumidor minorista,Valdivia,Mensual,2,3,2481,Efectivo
225,Tienda Pequeña,Los molinos,Mensual,34,12,31764,Efectivo
226,Minimarket,Valdivia,Mensual,396,168,377496,Crédito
227,Consumidor minorista,Corral,Quincenal,3,4,3588,Crédito
228,Consumidor minorista,Niebla,Mensual,2,5,3015,Efectivo
229,Minimarket,Las animas,Mensual,360,54,316818,Tarjeta
230,Consumidor minorista,Valdivia,Mensual,1,1,1107,Efectivo
231,Panadería,Las animas,Mensual,275,59,246753,Efectivo
232,Minimarket,Los molinos,Quincenal,415,188,398796,Crédito
233,Minimarket,Niebla,Mensual,418,194,402918,Efectivo
234,Tienda Pequeña,Valdivia,Quincenal,62,17,56619,Efectivo
235,Minimarket,Valdivia,Quincenal,243,82,226014,Efectivo
236,Minimarket,Valdivia,Semanal,354,143,335541,Tarjeta
237,Restaurante,Los molinos,Quincenal,489,153,451611,Efectivo
238,Consumidor minorista,Corral,Mensual,6,3,5841,Crédito
239,Tienda Pequeña,Los molinos,Quincenal,87,13,76551,Efectivo
240,Consumidor minorista,Valdivia,Quincenal,4,2,3894,Tarjeta
241,Restaurante,Corral,Quincenal,72,30,68490,Crédito
242,Tienda Pequeña,Las animas,Quincenal,37,39,41493,Efectivo
243,Restaurante,Niebla,Mensual,346,143,328821,Crédito
244,Minimarket,Niebla,Mensual,69,139,95073,Efectivo
245,Tienda Pequeña,Los molinos,Semanal,31,38,36186,Efectivo
246,Minimarket,Los molinos,Mensual,275,117,262239,Efectivo
247,Tienda Pequeña,Niebla,Quincenal,83,11,72657,Efectivo
248,Panadería,Corral,Semanal,147,90,147510,Crédito
249,Panadería,Niebla,Mensual,416,86,372402,Crédito
250,Tienda Pequeña,Niebla,Mensual,89,42,85974,Crédito
251,Restaurante,Las animas,Semanal,400,153,376851,Efectivo
252,Panadería,Corral,Mensual,116,96,123072,Efectivo
253,Minimarket,Las animas,Mensual,198,64,183408,Crédito
254,Panadería,Los molinos,Semanal,269,57,241179,Tarjeta
255,Minimarket,Valdivia,Semanal,229,146,231342,Tarjeta
256,Restaurante,Los molinos,Mensual,465,142,428514,Crédito
257,Minimarket,Los molinos,Mensual,102,111,115317,Crédito
258,Tienda Pequeña,Niebla,Quincenal,99,5,84495,Tarjeta
259,Consumidor minorista,Los molinos,Semanal,2,1,1947,Efectivo
260,Restaurante,Valdivia,Mensual,428,71,378477,Crédito
261,Tienda Pequeña,Las animas,Quincenal,83,49,82803,Crédito
262,Panadería,Niebla,Quincenal,221,162,228894,Crédito
263,Consumidor minorista,Corral,Quincenal,4,2,3894,Efectivo
264,Restaurante,Niebla,Mensual,392,157,371199,Efectivo
265,Tienda Pequeña,Valdivia,Semanal,58,31,56997,Efectivo
266,Restaurante,Corral,Semanal,459,145,424275,Efectivo
267,Consumidor minorista,Valdivia,Semanal,8,4,7788,Tarjeta
268,Consumidor minorista,Niebla,Mensual,9,2,8094,Crédito
269,Tienda Pequeña,Niebla,Quincenal,14,24,18168,Crédito
270,Panadería,Valdivia,Semanal,106,153,129891,Crédito
271,Consumidor minorista,Las animas,Mensual,3,5,3855,Tarjeta
272,Tienda Pequeña,Valdivia,Semanal,48,50,53670,Crédito
273,Tienda Pequeña,Los molinos,Semanal,58,45,60735,Efectivo
274,Restaurante,Corral,Mensual,376,116,346812,Efectivo
275,Minimarket,Niebla,Mensual,248,72,227544,Efectivo
276,Consumidor minorista,Valdivia,Semanal,7,4,6948,Crédito
277,Minimarket,Los molinos,Semanal,336,100,308940,Tarjeta
278,Consumidor minorista,Valdivia,Mensual,2,4,2748,Crédito
279,Tienda Pequeña,Las animas,Semanal,30,5,26535,Efectivo
280,Panadería,Las animas,Mensual,175,187,196929,Efectivo
281,Panadería,Los molinos,Semanal,159,31,141837,Tarjeta
282,Minimarket,Niebla,Semanal,198,33,175131,Tarjeta
283,Restaurante,Los molinos,Quincenal,476,68,417996,Tarjeta
284,Panadería,Los molinos,Mensual,337,109,312183,Tarjeta
285,Tienda Pequeña,Valdivia,Mensual,18,34,24198,Efectivo
286,Panadería,Las animas,Mensual,58,20,54060,Efectivo
287,Consumidor minorista,Los molinos,Quincenal,3,2,3054,Crédito
288,Restaurante,Valdivia,Quincenal,175,141,184647,Tarjeta
289,Minimarket,Niebla,Quincenal,323,22,277194,Tarjeta
290,Minimarket,Los molinos,Mensual,415,147,387849,Efectivo
291,Restaurante,Corral,Quincenal,468,34,402198,Tarjeta
292,Tienda Pequeña,Las animas,Mensual,26,20,27180,Crédito
293,Minimarket,Los molinos,Quincenal,473,114,427758,Efectivo
294,Tienda Pequeña,Corral,Semanal,45,9,40203,Tarjeta
295,Panadería,Corral,Quincenal,357,25,306555,Efectivo
296,Restaurante,Corral,Semanal,224,171,233817,Crédito
297,Consumidor minorista,Valdivia,Semanal,10,5,9735,Tarjeta
298,Consumidor minorista,Valdivia,Mensual,7,3,6681,Tarjeta
299,Tienda Pequeña,Las animas,Quincenal,39,31,41037,Efectivo
300,Restaurante,Valdivia,Quincenal,256,100,241740,Efectivo
